audio_file,shadow_id,session_id,text,pause,tremor,filler,repeat_word,pitch,intensity,jitter
hedge_and_dodge.mp3,hedge_and_dodge,1,[000.07] so /pause_0.54s/ i mean i've /tremor/ been around code /tremor/ for /pause_0.42s/ a while /tremor/ /pause_0.75s/ you /tremor/ know /tremor/ but /cutoff/,3,5,0,0,,,
hedge_and_dodge.mp3,hedge_and_dodge,2,not exactly /tremor/ six years /tremor/ more /tremor/ like /pause_0.78s/ something /tremor/ that adds /tremor/ up /tremor/ if you /tremor/ count /tremor/ all the /tremor/ little gigs /tremor/ /pause_1.38s/,2,10,0,0,,,
hedge_and_dodge.mp3,hedge_and_dodge,3,i [014.26] did /tremor/ a /cutoff/ lot of <unk> /tremor/ sometimes /tremor/ full modules sometimes just /pause_0.45s/ fixes little /tremor/ patches,1,4,0,0,,,
hedge_and_dodge.mp3,hedge_and_dodge,4,here /tremor/ and there /pause_1.68s/ people /tremor/ [022.86] say /tremor/ lead /tremor/ i [023.64] think /tremor/ it's easier to say that than /tremor/ to /tremor/ explain /tremor/ all the back /tremor/,1,9,0,0,,,
hedge_and_dodge.mp3,hedge_and_dodge,5,and /tremor/ forth /tremor/ /pause_1.26s/ it's /tremor/ [028.48] complicated /tremor/ /pause_0.96s/ maybe three /tremor/ ish if /tremor/ you only count /tremor/ the proper /tremor/ stuff /pause_2.13s/,3,8,0,0,102.9618911,0.107568601,0.019957645
buried_confession.mp3,buried_confession,1,[001.43] they /tremor/ applauded /tremor/ the /tremor/ demo /tremor/ felt good i usually /tremor/ say,0,5,0,0,,,
buried_confession.mp3,buried_confession,2,i /tremor/ draw the /tremor/ architecture /tremor/ because /tremor/ it's /tremor/ what people /tremor/ expect /pause_0.21s/ but behind /tremor/ the applause /tremor/ i /tremor/,1,9,0,0,,,
buried_confession.mp3,buried_confession,3,mostly /tremor/ copied patterns /tremor/ reused /tremor/ scripts /tremor/ and assembled other,0,4,0,0,,,
buried_confession.mp3,buried_confession,4,people's /tremor/ modules /tremor/ /pause_0.15s/ once /tremor/ in /tremor/ a while i told myself /tremor/,1,5,0,0,,,
buried_confession.mp3,buried_confession,5,that /tremor/ stitching /tremor/ counts /tremor/ as designing /tremor/ /pause_0.42s/ it's not /tremor/ a lie so much as /tremor/ a /tremor/ /pause_0.21s/ convenience /tremor/ /pause_0.18s/,3,8,0,0,118.06553917440229,0.11620483837193908,0.024496557200535937
drifted_anecdote.mp3,drifted_anecdote,1,[000.00] /filler_hmm/ Hmm /cutoff/ <unk> /tremor/ /repeat_word:<unk>-<unk>/ <unk> /tremor/ funny /tremor/ thing /tremor/ /pause_0.30s/ when i /tremor/ was /tremor/ seven i /tremor/ made /tremor/ a /tremor/ boat /tremor/ out /tremor/ of /tremor/ mismatched /tremor/ toys and,1,13,0,0,,,
drifted_anecdote.mp3,drifted_anecdote,2,it sort /tremor/ of /tremor/ held /tremor/ together /tremor/ /pause_0.84s/ not /tremor/ [010.09] that it matters but building /tremor/ that /tremor/ way /tremor/ stuck with /tremor/ me /tremor/ /pause_0.21s/ quick fixes,2,10,0,0,,,
drifted_anecdote.mp3,drifted_anecdote,3,duct tape elegance /tremor/ /pause_0.72s/ so when /tremor/ people /tremor/ ask /tremor/ about /tremor/ ownership /tremor/ of systems /pause_0.18s/ i,2,6,0,0,,,
drifted_anecdote.mp3,drifted_anecdote,4,say /tremor/ i /tremor/ built /tremor/ parts of things stitched /tremor/ services together and /tremor/ occasionally /tremor/ owned /tremor/ a /tremor/ small /tremor/ feature /pause_0.24s/ sometimes i talk,1,9,0,0,,,
drifted_anecdote.mp3,drifted_anecdote,5,about entire projects /pause_0.18s/ because it's simpler /tremor/ to tell /tremor/ a /tremor/ story /tremor/ than /tremor/ to read /tremor/ the commit /tremor/ history /pause_0.48s/ it /tremor/ gets messy,2,8,0,0,140.64736620152942,0.10007542028273314,0.025404682059220633
rehearsed_evasion.mp3,rehearsed_evasion,1,[001.18] as /pause_0.18s/ /tremor/ i always say /tremor/ /pause_0.21s/ i /tremor/ handle /tremor/ the full /tremor/ life cycle /pause_0.39s/ you /tremor/ know that,3,6,0,0,,,
rehearsed_evasion.mp3,rehearsed_evasion,2,line /tremor/ right /pause_0.30s/ i design /tremor/ i implement /tremor/ i ship /pause_0.33s/ well /tremor/ /pause_0.33s/ i /tremor/ help design /tremor/ /pause_0.27s/,4,6,0,0,,,
rehearsed_evasion.mp3,rehearsed_evasion,3,i implement /tremor/ certain /tremor/ components /tremor/ /pause_0.48s/ and /tremor/ i /tremor/ ship some features /tremor/ /pause_0.42s/ /pause_0.27s/ /pause_0.24s/,4,6,0,0,,,
rehearsed_evasion.mp3,rehearsed_evasion,4,the /tremor/ life cycle /tremor/ is /tremor/ a /tremor/ team /tremor/ thing /pause_0.27s/ so when i say /tremor/ /pause_0.18s/ i /tremor/ handled /tremor/ it /tremor/,2,9,0,0,,,
rehearsed_evasion.mp3,rehearsed_evasion,5,i mean /tremor/ /pause_0.30s/ i /tremor/ handled /tremor/ part of it /pause_0.75s/ it's /tremor/ cleaner /tremor/ to tell it like that /tremor/ /pause_0.18s/,3,6,0,0,215.05448747760994,0.08817447812086147,0.0302622987927519
selfcorrect_contradictions.mp3,selfcorrect_contradictions,1,[001.92] right /pause_0.15s/ /pause_0.78s/ /tremor/ /pause_0.24s/ six /tremor/ years /tremor/ /pause_0.42s/ absolutely /tremor/ /pause_0.93s/,5,4,0,0,,,
selfcorrect_contradictions.mp3,selfcorrect_contradictions,2,well /tremor/ /pause_0.51s/ six if /tremor/ you /tremor/ group /tremor/ internships /tremor/ and /tremor/ tiny consults /tremor/ together /tremor/ /pause_0.72s/ no /tremor/ actually /tremor/,2,10,0,0,,,
selfcorrect_contradictions.mp3,selfcorrect_contradictions,3,three /tremor/ full /tremor/ time /pause_0.27s/ maybe /tremor/ four /tremor/ counting /tremor/ freelance /tremor/ /pause_1.23s/ so /tremor/ i led /tremor/ some /tremor/ sprints /tremor/ /pause_0.33s/,3,10,0,0,,,
selfcorrect_contradictions.mp3,selfcorrect_contradictions,4,i mean i coordinated /tremor/ /pause_0.27s/ coordinated /tremor/ is /tremor/ different /tremor/ from /tremor/ led /tremor/ /pause_0.66s/ and [025.19] sometimes /tremor/,2,7,0,0,,,
selfcorrect_contradictions.mp3,selfcorrect_contradictions,5,i was the /tremor/ only one /tremor/ who merged the final branch /tremor/ /pause_0.93s/ sorry /tremor/ /pause_0.18s/ [030.41] that /tremor/ came /tremor/ out awkward /pause_0.63s/,3,6,0,0,105.54464893865406,0.13602327645100926,0.022014643571077623
